input,modality
A sunset over snow-capped mountains with golden light,Image
Breaking news: earthquake hits coastal city at dawn,Text
Time-lapse of a flower blooming in spring rain,Video
Portrait photography with soft natural lighting,Image
Scientific paper on quantum entanglement theory,Text
Drone footage of ocean waves crashing on cliffs,Video
Abstract oil painting with vivid contrasting colors,Image
A short story about a wandering knight in winter,Text
Slow-motion capture of a hummingbird feeding,Video
Architectural photograph of a modern glass building,Image
Technical documentation for a REST API endpoint,Text
Cinematic trailer for a fantasy adventure film,Video
